Pitch motor $u_\theta$ [V],Yaw motor $u_\psi$ [V],Pitch angle $\theta$ [rad],Yaw angle $\psi$ [rad],Sample time $\Delta t$ [s]
1.3527,1.5258,-0.50587,2.1807,
1.3527,1.5258,-0.50223,2.1451,
1.3527,1.5258,-0.50668,2.1596,
1.3527,1.5258,-0.49939,2.1596,
1.3527,1.5258,-0.50789,2.1621,
1.3527,1.5258,-0.50304,2.1531,
1.3527,1.5258,-0.50749,2.1475,
1.3527,1.5258,-0.50223,2.1175,
1.3527,1.5258,-0.50587,2.1321,
1.3527,1.5258,-0.50709,2.1361,
1.3527,1.5258,-0.50992,2.1119,
1.3527,1.5258,-0.5083,2.0973,
1.3527,1.5258,-0.50587,2.1078,
1.3527,1.5258,-0.51316,2.1127,
1.3527,1.5258,-0.51275,2.1111,
1.3527,1.5258,-0.51356,2.1013,
1.3527,1.5258,-0.51275,2.0916,
1.3527,1.5258,-0.51113,2.0803,
1.3527,1.5258,-0.50709,2.0738,
1.3527,1.5258,-0.50628,2.0779,
1.3527,1.5258,-0.51235,2.0843,
1.3527,1.5258,-0.50789,2.0592,
1.3527,1.5258,-0.51194,2.0576,
1.3527,1.5258,-0.51154,2.0576,
1.3527,1.5258,-0.50749,2.039,
1.3527,1.5258,-0.51154,2.0455,
1.3527,1.5258,-0.51275,2.0495,
1.3527,1.5258,-0.50992,2.0382,
1.3527,1.5258,-0.5083,2.0196,
1.3527,1.5258,-0.51113,2.0058,
1.3527,1.5258,-0.51235,1.9993,
1.3527,1.5258,-0.50951,1.9896,
1.3527,1.5258,-0.51073,1.9823,
1.3527,1.5258,-0.51073,1.9823,
1.3527,1.5258,-0.50709,1.9742,
1.3527,1.5258,-0.50628,1.9726,
1.3527,1.5258,-0.50628,1.9661,
1.3527,1.5258,-0.51154,1.9629,
1.3527,1.5258,-0.51073,1.9508,
1.3527,1.5258,-0.51194,1.9499,
1.3527,1.5258,-0.51113,1.9467,
1.3527,1.5258,-0.51478,1.9572,
1.3527,1.5258,-0.50466,1.9127,
1.3527,1.5258,-0.50304,1.9151,
1.3527,1.5258,-0.50789,1.9297,
1.3527,1.5258,-0.50344,1.903,
1.3527,1.5258,-0.50344,1.9022,
1.3527,1.5258,-0.50749,1.9135,
1.3527,1.5258,-0.50182,1.8779,
1.3527,1.5258,-0.50061,1.8908,
1.3527,1.5258,-0.49939,1.8884,
1.3527,0.83944,-0.50061,1.8447,
1.3527,0.83944,-0.50749,1.8576,
1.3527,0.83944,-0.50506,1.8382,
1.3527,0.83944,-0.50142,1.8423,
1.3527,0.83944,-0.5087,1.8423,
1.3527,0.83944,-0.4998,1.8261,
1.3527,0.83944,-0.50142,1.8026,
1.3527,0.83944,-0.50385,1.8002,
1.3527,0.83944,-0.49777,1.7961,
1.3527,0.83944,-0.49413,1.7945,
1.3527,0.83944,-0.50223,1.8026,
1.3527,0.83944,-0.49939,1.7905,
1.3527,0.83944,-0.49818,1.7832,
1.3527,0.83944,-0.49413,1.767,
1.3527,0.83944,-0.50223,1.7815,
1.3527,0.83944,-0.49858,1.7645,
1.3527,0.83944,-0.49373,1.7516,
1.3527,0.83944,-0.49616,1.7459,
1.3527,0.83944,-0.49373,1.7613,
1.3527,0.83944,-0.49616,1.7556,
1.3527,0.83944,-0.49373,1.733,
1.3527,0.83944,-0.4917,1.7224,
1.3527,0.83944,-0.49089,1.7168,
1.3527,0.83944,-0.48401,1.6909,
1.3527,0.83944,-0.48968,1.7054,
1.3527,0.83944,-0.48118,1.6901,
1.3527,0.83944,-0.48158,1.6876,
1.3527,0.83944,-0.48482,1.6747,
1.3527,0.83944,-0.48644,1.6787,
1.3527,0.83944,-0.48442,1.6803,
1.3527,0.83944,-0.47996,1.6658,
1.3527,0.83944,-0.47551,1.6642,
1.3527,0.83944,-0.48401,1.6795,
1.3527,0.83944,-0.48401,1.6666,
1.3527,0.83944,-0.47551,1.6488,
1.3527,0.83944,-0.47754,1.6601,
1.3527,0.83944,-0.4743,1.6431,
1.3527,0.83944,-0.47187,1.6447,
1.3527,0.83944,-0.47592,1.6496,
1.3527,0.83944,-0.47713,1.6439,
1.3527,0.83944,-0.47834,1.6455,
1.3527,0.83944,-0.46499,1.6156,
1.3527,0.83944,-0.46499,1.6059,
1.3527,0.83944,-0.47065,1.6277,
1.3527,0.83944,-0.47187,1.6358,
1.3527,0.83944,-0.47227,1.6334,
1.3527,0.83944,-0.46377,1.5961,
1.3527,0.83944,-0.46094,1.5994,
1.3527,0.83944,-0.46053,1.6002,
1.3527,0.83944,-0.46094,1.601,
1.3527,0.83944,-0.46053,1.597,
1.3527,0.83944,-0.4577,1.5937,
1.3527,0.83944,-0.45851,1.5816,
1.3527,0.83944,-0.46094,1.5978,
1.3527,0.83944,-0.46053,1.5864,
1.3527,0.83944,-0.46337,1.601,
1.3527,0.83944,-0.46053,1.5994,
1.3527,0.83944,-0.45203,1.5694,
1.3527,0.83944,-0.45325,1.5848,
1.3527,0.83944,-0.45325,1.571,
1.3527,0.83944,-0.45851,1.5945,
1.3527,0.83944,-0.45122,1.5743,
1.3527,0.83944,-0.45325,1.5694,
1.3527,0.83944,-0.45446,1.5751,
1.3527,0.83944,-0.45244,1.5686,
1.3527,0.83944,-0.45406,1.5978,
1.3527,0.83944,-0.44556,1.5735,
1.3527,0.83944,-0.44758,1.5581,
1.3527,0.83944,-0.45325,1.5791,
1.3527,0.83944,-0.44798,1.5621,
1.3527,0.83944,-0.44475,1.563,
1.3527,0.83944,-0.44758,1.5605,
1.3527,0.83944,-0.44434,1.5654,
1.3527,0.83944,-0.45284,1.5775,
1.3527,0.83944,-0.44596,1.5686,
1.3527,0.83944,-0.44839,1.563,
1.3527,0.83944,-0.45244,1.5767,
1.3527,0.83944,-0.44758,1.5605,
1.3527,0.83944,-0.44637,1.5557,
1.3527,0.83944,-0.4496,1.5678,
1.3527,0.83944,-0.44637,1.5573,
1.3527,0.83944,-0.44272,1.5719,
1.3527,0.83944,-0.44839,1.5791,
1.3527,0.83944,-0.44677,1.5775,
1.3527,0.83944,-0.44798,1.5848,
1.3527,0.83944,-0.44718,1.5961,
1.3527,0.83944,-0.44394,1.5856,
1.3527,0.83944,-0.43989,1.5678,
1.3527,0.83944,-0.44718,1.5978,
1.3527,0.83944,-0.44232,1.5767,
1.3527,0.83944,-0.44637,1.5953,
1.3527,0.83944,-0.44798,1.5961,
1.3527,0.83944,-0.44434,1.5856,
1.3527,0.83944,-0.4411,1.5702,
1.3527,0.83944,-0.43867,1.5791,
1.3527,0.83944,-0.44758,1.5978,
1.3527,0.83944,-0.44556,1.5905,
1.3527,0.83944,-0.44758,1.5994,
1.3527,0.83944,-0.44353,1.5808,
1.3527,0.83944,-0.44556,1.5913,
1.3527,0.83944,-0.4407,1.5694,
1.3527,0.83944,-0.44272,1.5783,
1.3527,0.83944,-0.44475,1.5872,
1.3527,0.83944,-0.44718,1.5978,
1.3527,0.83944,-0.44232,1.5783,
1.3527,0.83944,-0.44313,1.5808,
1.3527,0.83944,-0.44596,1.5913,
1.3527,0.83944,-0.44232,1.5767,
1.3527,0.83944,-0.44677,1.5945,
1.3527,0.83944,-0.44677,1.5897,
1.3527,0.83944,-0.44232,1.584,
1.3527,0.83944,-0.44353,1.5816,
1.3527,0.83944,-0.4407,1.5694,
1.3527,0.83944,-0.44272,1.5775,
1.3527,0.83944,-0.44839,1.5937,
1.3527,0.83944,-0.44272,1.5702,
1.3527,0.83944,-0.4496,1.5808,
1.3527,0.83944,-0.45446,1.5937,
1.3527,0.83944,-0.45284,1.5978,
1.3527,0.83944,-0.44434,1.5783,
1.3527,0.83944,-0.45203,1.5929,
1.3527,0.83944,-0.44515,1.5759,
1.3527,0.83944,-0.45082,1.5864,
1.3527,0.83944,-0.44839,1.5735,
1.3527,0.83944,-0.44515,1.58,
1.3527,0.83944,-0.45082,1.5872,
1.3527,0.83944,-0.44556,1.5727,
1.3527,0.83944,-0.44718,1.5719,
1.3527,0.83944,-0.45203,1.5937,
1.3527,0.83944,-0.45041,1.5848,
1.3527,0.83944,-0.45244,1.5897,
1.3527,0.83944,-0.45163,1.5881,
1.3527,0.83944,-0.45365,1.5986,
1.3527,0.83944,-0.4496,1.5816,
1.3527,0.83944,-0.44637,1.5678,
1.3527,0.83944,-0.45325,1.5978,
1.3527,0.83944,-0.44515,1.5743,
1.3527,0.83944,-0.45284,1.597,
1.3527,0.83944,-0.44434,1.5783,
1.3527,0.83944,-0.44677,1.5824,
1.3527,0.83944,-0.45203,1.571,
1.3527,0.83944,-0.45365,1.5727,
1.3527,0.83944,-0.45568,1.5808,
1.3527,0.83944,-0.45001,1.5791,
1.3527,0.83944,-0.45932,1.5986,
1.3527,0.83944,-0.4573,1.5897,
1.3527,0.83944,-0.45972,1.5978,
1.3527,0.83944,-0.45568,1.5856,
1.3527,0.83944,-0.45365,1.584,
1.3527,0.83944,-0.45972,1.5978,
1.3527,0.83944,-0.45163,1.5743,
1.3527,0.83944,-0.45527,1.58,
1.3527,0.83944,-0.45608,1.584,
1.3527,0.83944,-0.45568,1.5824,
1.3527,0.83944,-0.45487,1.5791,
1.3527,0.83944,-0.45325,1.5702,
1.3527,0.83944,-0.45568,1.5824,
1.3527,0.83944,-0.45203,1.5727,
1.3527,0.83944,-0.45244,1.5808,
1.3527,0.83944,-0.46661,1.5937,
1.3527,0.83944,-0.4662,1.5961,
1.3527,0.83944,-0.46377,1.5921,
1.3527,0.83944,-0.46377,1.5897,
1.3527,0.83944,-0.46215,1.5832,
1.3527,0.83944,-0.46499,1.5978,
1.3527,0.83944,-0.45972,1.5719,
1.3527,0.83944,-0.46296,1.5897,
1.3527,0.83944,-0.46094,1.5791,
1.3527,0.83944,-0.45972,1.5727,
1.3527,0.83944,-0.46256,1.5848,
1.3527,0.83944,-0.46094,1.5783,
1.3527,0.83944,-0.46337,1.5889,
1.3527,0.83944,-0.46863,1.5848,
1.3527,0.83944,-0.47227,1.5913,
1.3527,0.83944,-0.46499,1.5686,
1.3527,0.83944,-0.47227,1.5961,
1.3527,0.83944,-0.46661,1.5743,
1.3527,0.83944,-0.46782,1.5816,
1.3527,0.83944,-0.46742,1.5856,
1.3527,0.83944,-0.46337,1.5816,
1.3527,0.83944,-0.47106,1.5905,
1.3527,0.83944,-0.46337,1.5759,
1.3527,0.83944,-0.47106,1.5945,
1.3527,0.83944,-0.47389,1.5872,
1.3527,0.83944,-0.47065,1.5702,
1.3527,0.83944,-0.47187,1.5727,
1.3527,0.83944,-0.47592,1.5913,
1.3527,0.83944,-0.47754,1.5994,
1.3527,0.83944,-0.47834,1.597,
1.3527,0.83944,-0.47834,1.5961,
1.3527,0.83944,-0.4747,1.5848,
1.3527,0.83944,-0.47025,1.5727,
1.3527,0.83944,-0.47187,1.571,
1.3527,0.83944,-0.47834,1.5953,
1.3527,0.83944,-0.47065,1.571,
1.3527,0.83944,-0.48158,1.5897,
1.3527,0.83944,-0.47673,1.5832,
1.3527,0.83944,-0.4832,1.5937,
1.3527,0.83944,-0.48158,1.5889,
1.3527,0.83944,-0.48077,1.5832,
1.3527,0.83944,-0.48442,1.5937,
1.3527,0.83944,-0.48158,1.5897,
1.3527,0.83944,-0.47915,1.5775,
1.3527,0.83944,-0.47996,1.5816,
1.3527,0.83944,-0.48846,1.5921,
1.3527,0.83944,-0.48442,1.5719,
1.3527,0.83944,-0.48806,1.5889,
1.3527,0.83944,-0.49008,1.5921,
1.3527,0.83944,-0.48199,1.5743,
1.3527,0.83944,-0.48887,1.597,
1.3527,0.83944,-0.49049,1.5913,
1.3527,0.83944,-0.49049,1.5953,
1.3527,0.83944,-0.48968,1.5994,
1.3527,0.83944,-0.49049,1.5929,
1.3527,0.83944,-0.49049,1.5937,
1.3527,0.83944,-0.4828,1.5719,
1.3527,0.83944,-0.49616,1.5921,
1.3527,0.83944,-0.49211,1.58,
1.3527,0.83944,-0.49251,1.5816,
1.3527,0.83944,-0.49251,1.5832,
1.3527,0.83944,-0.49211,1.5816,
1.3527,0.83944,-0.49292,1.5872,
1.3527,0.83944,-0.49292,1.5848,
1.3527,0.83944,-0.4917,1.5775,
1.3527,0.83944,-0.49616,1.5937,
1.3527,0.83944,-0.49008,1.5678,
1.3527,0.83944,-0.49616,1.597,
1.3527,0.83944,-0.48765,1.5783,
1.3527,0.83944,-0.49616,1.597,
1.3527,0.83944,-0.48765,1.5775,
1.3527,0.83944,-0.48806,1.5735,
1.3527,0.83944,-0.49211,1.5864,
1.3527,0.83944,-0.49049,1.5848,
1.3527,0.83944,-0.49089,1.5735,
1.3527,0.83944,-0.49899,1.5905,
1.3527,0.83944,-0.50223,1.5921,
1.3527,0.83944,-0.50263,1.5945,
1.3527,0.83944,-0.49697,1.5856,
1.3527,0.83944,-0.49494,1.5832,
1.3527,0.83944,-0.50142,1.5961,
1.3527,0.83944,-0.49616,1.5678,
1.3527,0.83944,-0.49454,1.5816,
1.3527,0.83944,-0.49939,1.5881,
1.3527,0.83944,-0.50263,1.5953,
1.3527,0.83944,-0.49939,1.5864,
1.3527,0.83944,-0.50223,1.5929,
1.3527,0.83944,-0.49454,1.5743,
1.3527,0.83944,-0.49899,1.5848,
1.3527,0.83944,-0.49899,1.5848,
1.3527,0.83944,-0.49939,1.5864,
1.3527,0.83944,-0.49858,1.5824,
1.3527,0.83944,-0.50142,1.5961,
1.3527,0.83944,-0.5002,1.5897,
1.3527,0.83944,-0.49373,1.5791,
1.3527,0.83944,-0.49616,1.5848,
1.3527,0.83944,-0.49858,1.5816,
1.3527,0.83944,-0.49535,1.5694,
1.3527,0.83944,-0.5002,1.5913,
1.3527,0.83944,-0.49899,1.584,
1.3527,0.83944,-0.50223,1.5978,
1.3527,0.83944,-0.49535,1.571,
1.3527,0.83944,-0.49454,1.5743,
1.3527,0.83944,-0.50142,1.5905,
1.3527,0.83944,-0.49292,1.5824,
1.3527,0.83944,-0.48725,1.5791,
1.3527,0.83944,-0.49454,1.5953,
1.3527,0.83944,-0.48765,1.5791,
1.3527,0.83944,-0.49697,1.5929,
1.3527,0.83944,-0.49656,1.5945,
1.3527,0.83944,-0.49211,1.5832,
1.3527,0.57547,-0.49494,1.5953,
1.3527,0.57547,-0.4913,1.5767,
1.3527,0.57547,-0.49049,1.5719,
1.3527,0.57547,-0.49373,1.5913,
1.3527,0.57547,-0.49616,1.597,
1.3527,0.57547,-0.48887,1.5719,
1.3527,0.57547,-0.48887,1.571,
1.3527,0.57547,-0.48765,1.5775,
1.3527,0.57547,-0.49211,1.5808,
1.3527,0.57547,-0.48563,1.5735,
1.3527,0.57547,-0.4832,1.5832,
1.3527,0.57547,-0.48725,1.5889,
1.3527,0.57547,-0.4828,1.584,
1.3527,0.57547,-0.48644,1.5872,
1.3527,0.57547,-0.48523,1.5783,
1.3527,0.57547,-0.4832,1.5832,
1.3527,0.57547,-0.48563,1.5856,
1.3527,0.57547,-0.49008,1.5921,
1.3527,0.57547,-0.48361,1.584,
1.3527,0.57547,-0.48118,1.5832,
1.3527,0.57547,-0.4828,1.597,
1.3527,0.57547,-0.48158,1.5889,
1.3527,0.57547,-0.47996,1.58,
1.3527,0.57547,-0.47794,1.5694,
1.3527,0.57547,-0.47673,1.5719,
1.3527,0.57547,-0.47673,1.5856,
1.3527,0.57547,-0.47268,1.5743,
1.3527,0.57547,-0.47875,1.5937,
1.3527,0.57547,-0.47308,1.5743,
1.3527,0.57547,-0.47713,1.597,
1.3527,0.57547,-0.47025,1.5824,
1.3527,0.57547,-0.46903,1.5783,
1.3527,0.57547,-0.47268,1.5751,
1.3527,0.57547,-0.47187,1.597,
1.3527,0.57547,-0.46984,1.5897,
1.3527,0.57547,-0.46701,1.5759,
1.3527,0.57547,-0.46984,1.5905,
1.3527,0.57547,-0.46863,1.5824,
1.3527,0.57547,-0.46742,1.5783,
1.3527,0.57547,-0.46742,1.5791,
1.3527,0.57547,-0.46175,1.5719,
1.3527,0.57547,-0.46499,1.5978,
1.3527,0.57547,-0.4581,1.5727,
1.3527,0.57547,-0.45649,1.5791,
1.3527,0.57547,-0.46215,1.5864,
1.3527,0.57547,-0.46499,1.5961,
1.3527,0.57547,-0.45244,1.5702,
1.3527,0.57547,-0.45284,1.5686,
1.3527,0.57547,-0.45446,1.5775,
1.3527,0.57547,-0.45082,1.5743,
1.3527,0.57547,-0.45041,1.5791,
1.3527,0.57547,-0.4573,1.5881,
1.3527,0.57547,-0.44798,1.5735,
1.3527,0.57547,-0.44596,1.5702,
1.3527,0.57547,-0.44475,1.5808,
1.3527,0.57547,-0.45244,1.5953,
1.3527,0.57547,-0.45163,1.5881,
1.3527,0.57547,-0.45406,1.5961,
1.3527,0.57547,-0.45446,1.5953,
1.3527,0.57547,-0.44758,1.597,
1.3527,0.57547,-0.44677,1.5961,
1.3527,0.57547,-0.44029,1.5686,
1.3527,0.57547,-0.44272,1.5775,
1.3527,0.57547,-0.44232,1.5767,
1.3527,0.57547,-0.44475,1.5889,
1.3527,0.57547,-0.43665,1.5881,
1.3527,0.57547,-0.43665,1.5978,
1.3527,0.57547,-0.44232,1.6091,
1.3527,0.57547,-0.43706,1.6075,
1.3527,0.57547,-0.42694,1.5864,
1.3527,0.57547,-0.43665,1.6067,
1.3527,0.57547,-0.42572,1.5897,
1.3527,0.57547,-0.42572,1.5905,
1.3527,0.57547,-0.42977,1.5961,
1.3527,0.57547,-0.43625,1.618,
1.3527,0.57547,-0.43625,1.6212,
1.3527,0.57547,-0.42977,1.6034,
1.3527,0.57547,-0.42086,1.6002,
1.3527,0.57547,-0.42694,1.6123,
1.3527,0.57547,-0.42977,1.6204,
1.3527,0.57547,-0.42855,1.614,
1.3527,0.57547,-0.4241,1.6083,
1.3527,0.57547,-0.42046,1.597,
1.3527,0.57547,-0.42734,1.6148,
1.3527,0.57547,-0.42208,1.6051,
1.3527,0.57547,-0.42248,1.5945,
1.3527,0.57547,-0.41965,1.6115,
1.3527,0.57547,-0.42491,1.6318,
1.3527,0.57547,-0.42248,1.6326,
1.3527,0.57547,-0.4241,1.6334,
1.3527,0.57547,-0.42167,1.6277,
1.3527,0.57547,-0.41884,1.6156,
1.3527,0.57547,-0.41439,1.618,
1.3527,0.57547,-0.41965,1.6302,
1.3527,0.57547,-0.41479,1.6285,
1.3527,0.57547,-0.4152,1.618,
1.3527,0.57547,-0.41682,1.6221,
1.3527,0.57547,-0.41722,1.6237,
1.3527,0.57547,-0.4152,1.6196,
1.3527,0.57547,-0.42208,1.6407,
1.3527,0.57547,-0.4237,1.6496,
1.3527,0.57547,-0.41884,1.6391,
1.3527,0.57547,-0.42329,1.652,
1.3527,0.57547,-0.41398,1.6399,
1.3527,0.57547,-0.41358,1.6366,
1.3527,0.57547,-0.42289,1.6561,
1.3527,0.57547,-0.41439,1.6342,
1.3527,0.57547,-0.4156,1.6504,
1.3527,0.57547,-0.41115,1.6455,
1.3527,0.57547,-0.41641,1.6682,
1.3527,0.57547,-0.40872,1.652,
1.3527,0.57547,-0.41641,1.6674,
1.3527,0.57547,-0.4075,1.6512,
1.3527,0.57547,-0.41155,1.6601,
1.3527,0.57547,-0.41601,1.6779,
1.3527,0.57547,-0.41479,1.6731,
1.3527,0.57547,-0.41641,1.6844,
1.3527,0.57547,-0.41884,1.6917,
1.3527,0.57547,-0.40791,1.6763,
1.3527,0.57547,-0.40953,1.6658,
1.3527,0.57547,-0.40791,1.6714,
1.3527,0.57547,-0.41479,1.6876,
1.3527,0.57547,-0.41479,1.6965,
1.3527,0.57547,-0.4152,1.699,
1.3527,0.57547,-0.4071,1.6868,
1.3527,0.57547,-0.41034,1.6933,
1.3527,0.57547,-0.40993,1.6787,
1.3527,0.57547,-0.41803,1.7095,
1.3527,0.57547,-0.41277,1.7063,
1.3527,0.57547,-0.41601,1.6917,
1.3527,0.57547,-0.41762,1.6965,
1.3527,0.57547,-0.42005,1.7063,
1.3527,0.57547,-0.42289,1.7192,
1.3527,0.57547,-0.41439,1.7079,
1.3527,0.57547,-0.42208,1.7257,
1.3527,0.57547,-0.42167,1.7249,
1.3527,0.57547,-0.41762,1.7305,
1.3527,0.57547,-0.42127,1.7362,
1.3527,0.57547,-0.41317,1.7265,
1.3527,0.57547,-0.41722,1.7224,
1.3527,0.57547,-0.41803,1.7346,
1.3527,0.57547,-0.41439,1.7378,
1.3527,0.57547,-0.42248,1.7314,
1.3527,0.57547,-0.42855,1.7532,
1.3527,0.57547,-0.43017,1.7694,
1.3527,0.57547,-0.42855,1.7645,
1.3527,0.57547,-0.42248,1.7411,
1.3527,0.57547,-0.43017,1.7686,
1.3527,0.57547,-0.42572,1.7629,
1.3527,0.57547,-0.42532,1.7702,
1.3527,0.57547,-0.42734,1.7718,
1.3527,0.57547,-0.4237,1.7645,
1.3527,0.57547,-0.42451,1.7815,
1.3527,0.57547,-0.43058,1.7905,
1.3527,0.57547,-0.43503,1.7921,
1.3527,0.57547,-0.42936,1.7694,
1.3527,0.57547,-0.4326,1.7856,
1.3527,0.57547,-0.43058,1.7953,
1.3527,0.57547,-0.42815,1.788,
1.3527,0.57547,-0.42734,1.8026,
1.3527,0.57547,-0.43058,1.8091,
1.3527,0.57547,-0.43422,1.8334,
1.3527,0.57547,-0.43422,1.8358,
1.3527,0.57547,-0.43341,1.8147,
1.3527,0.57547,-0.43665,1.8212,
1.3527,0.57547,-0.44151,1.8504,
1.3527,0.57547,-0.43989,1.8447,
1.3527,0.57547,-0.43827,1.8406,
1.3527,0.57547,-0.43786,1.8487,
1.3527,0.57547,-0.43625,1.8423,
1.3527,0.57547,-0.43746,1.869,
1.3527,0.57547,-0.44191,1.8755,
1.3527,0.57547,-0.43422,1.8649,
1.3527,0.57547,-0.4407,1.8811,
1.3527,0.57547,-0.43544,1.8787,
1.3527,0.57547,-0.43706,1.8714,
1.3527,0.57547,-0.43786,1.8949,
1.3527,0.57547,-0.44353,1.8989,
1.3527,0.57547,-0.4407,1.886,
1.3527,0.57547,-0.44029,1.8868,
1.3527,0.57547,-0.43908,1.89,
1.3527,0.57547,-0.44677,1.9192,
1.3527,0.57547,-0.44029,1.8981,
1.3527,0.57547,-0.4411,1.9062,
1.3527,0.57547,-0.44272,1.9176,
1.3527,0.57547,-0.43989,1.9111,
1.3527,0.57547,-0.44434,1.9232,
1.3527,0.57547,-0.44151,1.9248,
1.3527,0.57547,-0.44596,1.9394,
1.3527,0.57547,-0.44677,1.9524,
1.3527,0.57547,-0.44718,1.9572,
1.3527,0.57547,-0.43908,1.9402,
1.3527,0.57547,-0.43827,1.9475,
1.3527,0.57547,-0.44353,1.9572,
1.3527,0.57547,-0.4407,1.9483,
1.3527,0.57547,-0.43989,1.9597,
1.3527,0.57547,-0.44272,1.9783,
1.3527,0.57547,-0.44272,1.9653,
1.3527,0.57547,-0.44879,1.9945,
1.3527,0.57547,-0.44556,1.9961,
1.3527,0.57547,-0.44313,2.0179,
1.3527,0.57547,-0.44191,2.0001,
1.3527,0.57547,-0.43948,2.0099,
1.3527,0.57547,-0.43948,2.0123,
1.3527,0.57547,-0.44879,2.0447,
1.3527,0.57547,-0.4411,2.022,
1.3527,0.57547,-0.44313,2.0285,
1.3527,0.57547,-0.44515,2.039,
1.3527,0.57547,-0.44596,2.0487,
1.3527,0.57547,-0.44515,2.0592,
1.3527,0.57547,-0.43867,2.0681,
1.3527,0.57547,-0.4407,2.0754,
1.3527,0.57547,-0.43544,2.0584,
1.3527,0.57547,-0.4322,2.0787,
1.3527,0.57547,-0.43382,2.0681,
1.3527,0.57547,-0.43827,2.0811,
1.3527,0.57547,-0.44029,2.0981,
1.3527,0.57547,-0.43544,2.0819,
1.3527,0.57547,-0.43463,2.0819,
1.3527,0.57547,-0.43786,2.1054,
1.3527,0.57547,-0.43463,2.0957,
1.3527,0.57547,-0.43625,2.1102,
1.3527,1.5363,-0.43827,2.154,
1.3527,1.5363,-0.43382,2.1402,
1.3527,1.5363,-0.4322,2.1483,
1.3527,1.5363,-0.43422,2.141,
1.3527,1.5363,-0.43422,2.1548,
1.3527,1.5363,-0.4411,2.1718,
1.3527,1.5363,-0.4322,2.1774,
1.3527,1.5363,-0.4411,2.2001,
1.3527,1.5363,-0.43827,2.1896,
1.3527,1.5363,-0.4322,2.1904,
1.3527,1.5363,-0.4411,2.2058,
1.3527,1.5363,-0.43463,2.2017,
1.3527,1.5363,-0.43948,2.2155,
1.3527,1.5363,-0.44232,2.2252,
1.3527,1.5363,-0.44029,2.2276,
1.3527,1.5363,-0.43867,2.222,
1.3527,1.5363,-0.44879,2.2357,
1.3527,1.5363,-0.43867,2.2252,
1.3527,1.5363,-0.44839,2.2584,
1.3527,1.5363,-0.44475,2.2511,
1.3527,1.5363,-0.44758,2.2592,
1.3527,1.5363,-0.44313,2.2471,
1.3527,1.5363,-0.44637,2.2414,
1.3527,1.5363,-0.44677,2.239,
1.3527,1.5363,-0.44879,2.2649,
1.3527,1.5363,-0.44677,2.2406,
1.3527,1.5363,-0.44718,2.2406,
1.3527,1.5363,-0.45163,2.2527,
1.3527,1.5363,-0.45001,2.2641,
1.3527,1.5363,-0.45244,2.2543,
1.3527,1.5363,-0.45041,2.2503,
1.3527,1.5363,-0.45082,2.2535,
1.3527,1.5363,-0.45689,2.2503,
1.3527,1.5363,-0.4577,2.2527,
1.3527,1.5363,-0.45527,2.2649,
1.3527,1.5363,-0.45203,2.243,
1.3527,1.5363,-0.45891,2.2584,
1.3527,1.5363,-0.45649,2.2641,
1.3527,1.5363,-0.46094,2.2608,
1.3527,1.5363,-0.45446,2.2446,
1.3527,1.5363,-0.45851,2.2552,
1.3527,1.5363,-0.46337,2.2568,
1.3527,1.5363,-0.46337,2.2527,
1.3527,1.5363,-0.45891,2.2406,
1.3527,1.5363,-0.46215,2.2373,
1.3527,1.5363,-0.46418,2.2438,
1.3527,1.5363,-0.46134,2.2349,
1.3527,1.5363,-0.46296,2.239,
1.3527,1.5363,-0.46296,2.2373,
1.3527,1.5363,-0.4577,2.2349,
1.3527,1.5363,-0.46742,2.2357,
1.3527,1.5363,-0.4662,2.2309,
1.3527,1.5363,-0.47187,2.2471,
1.3527,1.5363,-0.47025,2.2414,
1.3527,1.5363,-0.46863,2.2293,
1.3527,1.5363,-0.46984,2.239,
1.3527,1.5363,-0.47673,2.2333,
1.3527,1.5363,-0.47551,2.2276,
1.3527,1.5363,-0.4747,2.2252,
1.3527,1.5363,-0.47187,2.2382,
1.3527,1.5363,-0.47754,2.2333,
1.3527,1.5363,-0.47268,2.2187,
1.3527,1.5363,-0.47349,2.2098,
1.3527,1.5363,-0.47956,2.2252,
1.3527,1.5363,-0.47511,2.2171,
1.3527,1.5363,-0.48482,2.2131,
1.3527,1.5363,-0.47794,2.2139,
1.3527,1.5363,-0.48158,2.205,
1.3527,1.5363,-0.48563,2.2155,
1.3527,1.5363,-0.48523,2.1961,
1.3527,1.5363,-0.48927,2.2074,
1.3527,1.5363,-0.48604,2.1936,
1.3527,1.5363,-0.48482,2.1815,
1.3527,1.5363,-0.48604,2.1863,
1.3527,1.5363,-0.49049,2.2001,
1.3527,1.5363,-0.48644,2.2033,
1.3527,1.5363,-0.48563,2.1742,
1.3527,1.5363,-0.49535,2.1896,
1.3527,1.5363,-0.48968,2.1661,
1.3527,1.5363,-0.49251,2.175,
1.3527,1.5363,-0.49616,2.1799,
1.3527,1.5363,-0.49494,2.1726,
1.3527,1.5363,-0.49373,2.1669,
1.3527,1.5363,-0.49049,2.1564,
1.3527,1.5363,-0.49373,2.1677,
1.3527,1.5363,-0.50061,2.1588,
1.3527,1.5363,-0.49454,2.1507,
1.3527,1.5363,-0.5002,2.1572,
1.3527,1.5363,-0.50223,2.1612,
1.3527,1.5363,-0.49575,2.1313,
1.3527,1.5363,-0.49575,2.1313,
1.3527,1.5363,-0.49777,2.1281,
